source	lang_label_ga	function	phrase_raw	phrase_native	phrase_translit	slots_count_est	needs_manual_normalization
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Malgais	morning	Manao ahoana / Salàma Manao ahoana / Salàma Tafandria mandry Tafandria mandry Manao ahoana / Salàma		Manao ahoana / Salàma Manao ahoana / Salàma Tafandria mandry Tafandria mandry Manao ahoana / Salàma	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Ollainnis	morning	Goedemorgen Goedendag Goedenavond Goede nacht Hallo		Goedemorgen Goedendag Goedenavond Goede nacht Hallo	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Ocsatáinis	morning	⑤ Bonjorn Bon vèspre Bonser Bona nuèch Adieu / Adieusiatz		⑤ Bonjorn Bon vèspre Bonser Bona nuèch Adieu / Adieusiatz	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Peirsis	morning	Sobh Bekheir Rooz Bekheir Shab Bekheir Shab Bekheir	زبان انگلیسی: Hello, Hi (رسمی), Hey (غیر رسمی), Good Day/Morning/Evening (Good Day.)	Sobh Bekheir Rooz Bekheir Shab Bekheir Shab Bekheir	2	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Polainnis	morning	Dzień dobry Miłego dnia Dobry wieczór Dobranoc Cześć		Dzień dobry Miłego dnia Dobry wieczór Dobranoc Cześć	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Portaingéilis	morning	Bom dia Boa tarde Boa tarde Boa noite Olá / Oi	Chinês(Cantonês): "Jo San" (早晨 ((Bom dia)), "Sik Jo Fan Mei" (食咗飯未 (literário, você já comeu?)), "Ha Lo" (哈佬 (Olá))	Bom dia Boa tarde Boa tarde Boa noite Olá / Oi	1	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Romanche	morning	Bun di Buna saira Buna saira Buna notg Ciao		Bun di Buna saira Buna saira Buna notg Ciao	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Rómáinis	morning	Bună dimineaţa Bună ziua Bună seara Noapte bună Bună / salut		Bună dimineaţa Bună ziua Bună seara Noapte bună Bună / salut	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Rúisis	morning	Dobroye utro		Dobroye utro	5	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Rúisis	afternoon	Доброе утро Dobry dyen	Доброе утро Dobry dyen		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Rúisis	evening	Добрый день Dobry vyecher	Добрый день Dobry vyecher		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Rúisis	night	Добрый вечер Spokojnoj nochi	Добрый вечер Spokojnoj nochi		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Rúisis	hello	Спокойной ночи  Privjet	Сайт «Лингвомания» Архивная копия от 10 февраля 2009 на Wayback Machine		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Sairdis	morning	Bonardias Bonu merie Bona sera Bona notti Saludu		Bonardias Bonu merie Bona sera Bona notti Saludu	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Seapáinis	morning	Ohayô gozaimasu		Ohayô gozaimasu	5	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Seapáinis	afternoon	おはようございます Konnichiwa	おはようございます Konnichiwa		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Seapáinis	evening	今日は Konbanwa	今日は Konbanwa		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Seapáinis	night	今晩は Oyasuminasai	今晩は Oyasuminasai		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Seapáinis	hello	お休みなさい ossu	お休みなさい ossu		5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Seicis	morning	Dobré ráno Dobry' den Dobry' večer Dobrou noc Ahoj, Čau		Dobré ráno Dobry' den Dobry' večer Dobrou noc Ahoj, Čau	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Sínis	morning	(Cantanais) Jo san / Zan san		(Cantanais) Jo san / Zan san	5	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Sínis	afternoon	早晨 / Néih hóu / Ngh on an san / Ng ngon	早晨	Néih hóu / Ngh on an san / Ng ngon	5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Sínis	evening	你好 / / Maan ngon	你好	Maan ngon	5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Sínis	night	晚安 Jo tau / Hai Néih hóu / Neilhou / Lay ho / Ho yat / Ngh on / Jou san	晚安 Jo tau	Hai Néih hóu / Neilhou / Lay ho / Ho yat / Ngh on / Jou san	5	False
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Sínis	hello	你好 / 您好 / / /	↑ George Boeree. . Webspace.ship.edu. [2011-01-27]. （原始内容存档于2021-01-09）.		5	False
